,census_tract,median_income_07_to_11,median_income_12_to_16,median_rent_07_to_11,median_rent_12_to_16
0,36061020901,26868.476412695098,22646.768705029102,558.2468774978,820.756744442124
1,36061021000,37333.1664231102,30517.876862908903,757.6981890698289,946.1642966984979
2,36061021100,56176.9794685893,47939.3308905891,1029.77579344254,1140.9028534543302
3,36061021200,60259.227508699405,55064.1111765041,1142.50914346152,1532.41911415716
4,36061021303,46358.3382717445,37478.5057999354,1057.95913094729,1258.15381694606
5,36061021400,39135.8160488943,52546.7839690164,985.3328381466021,1186.7836652554402
6,36061021500,34551.6878062959,32015.6304748163,922.462316020636,1118.47223435157
7,36061021600,42641.3896446766,60837.956448275196,1021.10399728724,1200.0381219979902
8,36061021703,,,,
9,36061021800,43421.8512986541,49376.9296603573,1126.24952567032,1207.17513716705
10,36061021900,18759.2630329649,22007.496060600297,581.010342405477,538.334858466387
11,36061022000,38898.425629142796,54244.3740056575,994.0046343019079,1071.57184895487
12,36005000100,,,,
13,36005003700,28303.658676398198,,1354.9681492665,948.203443889659
14,36005003800,63683.503015525705,31294.7919427411,1208.63158914572,928.831545573634
15,36005003900,35635.662325709105,29095.5716970744,964.737322277751,1087.88502648416
16,36005042600,73211.6390411678,58271.6897081996,,
17,36005042800,75091.25085783031,67491.6937330321,,
18,36005042901,33603.2101018093,42204.22941545,1128.41747470915,1245.9189337991
19,36005042902,33040.6273262339,27690.5992823648,1078.55464681614,1257.1342433504801
20,36005043000,48882.9149274578,71006.1639169973,,
21,36005043100,35650.8379689809,29206.7052189927,1133.83734730621,1204.1164163803098
22,36005043400,46480.8273924382,42669.1549750346,1188.03607327687,1234.70362424772
23,36005043500,23034.4585375306,,,815.658876464223
24,36005043600,45758.900362509004,60815.5258291724,1210.79953818455,
25,36005044200,41473.9490872686,39083.3146393788,1074.2187487384801,1221.44916750517
26,36005044400,68318.5780605366,61756.592257893,,
27,36005044800,87265.36868536,83932.3179617641,,
28,36005044901,67748.4074633252,70586.0995956182,1298.6014742570198,1273.4474208797699
29,36005044902,55449.632566062995,67419.3040077459,1285.59378002406,1308.1129231295
30,36005045101,61767.0360652032,67068.5706908663,1241.15082472812,1446.77493212841
31,36005045102,73426.2659960116,85662.5343534638,1224.8912069369198,1426.38346021681
32,36005045600,65924.0783471528,76224.3415791772,,
33,36005045800,24963.933182086097,20154.9308374309,568.002648172519,489.39532587853404
34,36005046000,40518.9675356656,32387.774837203102,829.2405073511011,943.105575911757
35,36005046201,53442.11175610981,46665.8834697093,,955.340459058721
36,36005046202,39900.0180850806,36432.423290870094,796.721271768705,1078.70886412393
