,Unnamed: 0,zipcode,median_income,population,county,median_rent,restaurant_count,recycling_bin_count,num_subway_entrances,subway_bracket,logincome,logrent,logrestaurant,predicted_inc,difference
0,0,10001,71244.61,17678,New York County,3400.0,488.0,0.6931471805599453,51.0,"(6, 72]",11.17387444614655,8.131530710604252,6.1903154058531475,11.378561813076297,-0.20468736692974687
1,1,10002,30843.9574,70878,New York County,3050.0,509.0,2.3978952727983707,19.0,"(6, 72]",10.336696139808076,8.022896869601457,6.2324480165505225,11.066759918164513,-0.7300637783564365
2,2,10003,89998.5339,53609,New York County,3750.0,682.0,2.0794415416798357,28.0,"(6, 72]",11.407548659179719,8.229511118964457,6.525029657843462,11.312676836784064,0.09487182239565506
3,3,10004,110183.6857,1271,New York County,3876.0,145.0,1.3862943611198906,6.0,"(0, 6]",11.609904122091828,8.262558973010657,4.976733742420574,11.532773143489841,0.07713097860198737
4,4,10005,115133.2855,1517,New York County,3910.0,72.0,1.3862943611198906,0.0,0,11.653845740566183,8.271292652979412,4.276666119016055,11.539591284198497,0.11425445636768572
5,5,10006,111220.0,972,New York County,3700.0,45.0,1.0986122886681098,30.0,"(6, 72]",11.619265500741555,8.216088098632316,3.8066624897703196,11.499549356656836,0.11971614408471964
6,6,10007,145458.7823,3520,New York County,6325.0,141.0,2.302585092994046,26.0,"(6, 72]",11.887648042299919,8.752265313595721,4.948759890378168,11.93329157637591,-0.045643534075990644
7,7,10009,56615.2777,56975,New York County,3350.0,311.0,2.6390573296152584,4.0,"(0, 6]",10.944034151796606,8.116715624819111,5.739792912179234,11.190126530658304,-0.24609237886169844
8,8,10010,93702.0061,27322,New York County,3500.0,259.0,0.0,0.0,0,11.447874877815897,8.160518247477505,5.556828061699537,11.38709293819231,0.06078193962358647
9,9,10011,92359.4888,45899,New York County,3695.0,455.0,0.6931471805599453,72.0,"(6, 72]",11.433443728589538,8.214735833382303,6.12029741895095,11.356673260531648,0.07677046805788912
10,10,10012,81316.7066,26464,New York County,3350.0,429.0,2.1972245773362196,34.0,"(6, 72]",11.306106767659992,8.116715624819111,6.061456918928017,11.302418500309356,0.0036882673506362096
11,11,10013,69836.0955,24723,New York County,5195.0,497.0,2.3978952727983707,14.0,"(6, 72]",11.153906282593276,8.555451903533328,6.208590026096629,11.687748263861685,-0.5338419812684094
12,12,10014,98449.9155,32867,New York County,3700.0,424.0,2.70805020110221,0.0,0,11.497303225763195,8.216088098632316,6.049733455231958,11.356458327418311,0.14084489834488423
13,13,10016,96760.4462,49904,New York County,3400.0,441.0,1.0986122886681098,0.0,0,11.479993576123004,8.131530710604252,6.089044875446846,11.261328938654675,0.2186646374683292
14,14,10017,102523.5025,16231,New York County,3000.0,358.0,1.0986122886681098,5.0,"(0, 6]",11.537847343959978,8.006367567650246,5.8805329864007,11.264792743941332,0.27305460001864645
15,15,10018,84799.0772,4255,New York County,3495.0,382.0,1.6094379124341003,26.0,"(6, 72]",11.348039939645313,8.15908865466791,5.945420608606575,11.42720320132683,-0.07916326168151677
16,16,10019,84786.4665,39048,New York County,3595.0,695.0,1.0986122886681098,16.0,"(6, 72]",11.347891215883273,8.187299270155147,6.543911845564792,11.346570317973619,0.0013208979096539508
17,17,10021,113800.3846,44173,New York County,3295.0,150.0,0.0,12.0,"(6, 72]",11.642201180282013,8.100161446936607,5.0106352940962555,11.277716710358918,0.36448446992309513
18,18,10022,93106.6559,26460,New York County,3252.0,463.0,1.0986122886681098,3.0,"(0, 6]",11.441500952653877,8.087025470667701,6.137727054086234,11.301056016662207,0.1404449359916704
19,19,10023,108285.5918,59002,New York County,3697.0,197.0,2.1972245773362196,16.0,"(6, 72]",11.592527384433991,8.215276958936633,5.2832037287379885,11.27948185192901,0.31304553250498124
20,20,10024,110998.9883,61485,New York County,3300.0,196.0,0.0,0.0,0,11.61727636583852,8.101677747454572,5.278114659230517,11.220944704572242,0.39633166126627906
21,21,10025,65001.2415,96117,New York County,3400.0,232.0,0.6931471805599453,9.0,"(6, 72]",11.082161648695372,8.131530710604252,5.44673737166631,11.115320529076298,-0.03315888038092574
22,22,10026,31541.8106,25925,New York County,2600.0,88.0,1.9459101490553132,16.0,"(6, 72]",10.359069265337318,7.8632667240095735,4.477336814478207,11.088038349514338,-0.7289690841770202
23,23,10027,38550.3989,57049,New York County,2600.0,169.0,1.0986122886681098,10.0,"(6, 72]",10.559721726538458,7.8632667240095735,5.1298987149230735,11.002565677587013,-0.44284395104855534
24,24,10028,105456.4514,40914,New York County,2895.0,198.0,0.0,16.0,"(6, 72]",11.56605336374154,7.970740390007095,5.288267030694535,11.17538460533421,0.3906687584073296
25,25,10029,32876.522000000004,76271,New York County,3375.0,208.0,1.3862943611198906,10.0,"(6, 72]",10.400514064986359,8.12415060330663,5.337538079701318,11.159938138324877,-0.7594240733385185
26,26,10030,28525.1218,26058,New York County,1800.0,37.0,1.6094379124341003,17.0,"(6, 72]",10.258540444659811,7.495541943884256,3.6109179126442243,10.773296252048976,-0.5147558073891645
27,27,10031,31526.0287,59450,New York County,2000.0,118.0,0.6931471805599453,6.0,"(0, 6]",10.358568791545776,7.600902459542082,4.770684624465665,10.773969135746688,-0.4154003442009113
28,28,10032,29535.9721,54744,New York County,1900.0,114.0,1.3862943611198906,23.0,"(6, 72]",10.293364192692165,7.549609165154532,4.736198448394496,10.729344083654162,-0.4359798909619972
29,29,10033,36462.7783,59049,New York County,1950.0,120.0,0.0,0.0,0,10.504047246645992,7.575584651557793,4.787491742782046,10.76868324304338,-0.2646359963973879
30,30,10034,37865.7046,37785,New York County,1450.0,111.0,1.9459101490553132,24.0,"(6, 72]",10.541801089588182,7.27931883541462,4.709530201312334,10.537164997416037,0.004636092172145112
31,31,10035,23301.5744,31078,New York County,2115.5,87.0,1.791759469228055,8.0,"(6, 72]",10.056276208086437,7.657046470160122,4.465908118654584,10.893713890573432,-0.8374376824869945
32,32,10036,62393.3306,18660,New York County,3450.0,608.0,0.0,0.0,0,11.041213667235038,8.146129510025405,6.410174881966167,11.403569587174234,-0.3623559199391959
33,33,10037,40079.7036,16994,New York County,1725.0,31.0,1.3862943611198906,9.0,"(6, 72]",10.59862534052182,7.45298232946546,3.4339872044851463,10.771465277059084,-0.17283993653726348
34,34,10038,55937.3774,15435,New York County,3325.0,207.0,1.3862943611198906,5.0,"(0, 6]",10.931988083282965,8.109224953089955,5.332718793265369,11.351040825255245,-0.4190527419722798
