,zipcode,median_income,population,county,median_rent,restaurant_count,recycling_bin_count,num_subway_entrances,subway_bracket,logincome,logrent,logrestaurant,predicted_inc,difference,bronx,kings,newyork,queens
0,10001,71244.61,17678,New York County,3400.0,488.0,1.0,51.0,"(6, 72]",11.17387444614655,8.131530710604252,6.190315405853148,11.371688309920843,-0.1978138637742912,0,0,1,0
1,10002,30843.9574,70878,New York County,3050.0,509.0,10.0,19.0,"(6, 72]",10.336696139808076,8.022896869601457,6.2324480165505225,10.896472772275196,-0.5597766324671198,0,0,1,0
2,10003,89998.5339,53609,New York County,3750.0,682.0,7.0,28.0,"(6, 72]",11.40754865917972,8.229511118964458,6.525029657843463,11.202456327317693,0.2050923318620264,0,0,1,0
3,10004,110183.6857,1271,New York County,3876.0,145.0,3.0,6.0,"(0, 6]",11.609904122091827,8.262558973010657,4.976733742420574,11.496626137178929,0.11327798491290153,0,0,1,0
4,10005,115133.2855,1517,New York County,3910.0,72.0,3.0,0.0,0,11.653845740566185,8.271292652979412,4.276666119016055,11.503444277887585,0.15040146267859988,0,0,1,0
5,10006,111220.0,972,New York County,3700.0,45.0,2.0,30.0,"(6, 72]",11.619265500741555,8.216088098632316,3.80666248977032,11.479358271923001,0.13990722881855433,0,0,1,0
6,10007,145458.7823,3520,New York County,6325.0,141.0,9.0,26.0,"(6, 72]",11.887648042299919,8.752265313595721,4.948759890378168,11.783269482458975,0.10437855984094213,0,0,1,0
7,10009,56615.2777,56975,New York County,3350.0,311.0,13.0,4.0,"(0, 6]",10.944034151796606,8.116715624819111,5.739792912179233,10.958041414841686,-0.014007263045080265,0,0,1,0
8,10010,93702.0061,27322,New York County,3500.0,259.0,0.0,0.0,0,11.447874877815895,8.160518247477505,5.556828061699537,11.38709293819231,0.060781939623586474,0,0,1,0
9,10011,92359.4888,45899,New York County,3695.0,455.0,1.0,72.0,"(6, 72]",11.433443728589538,8.214735833382303,6.12029741895095,11.349799757376195,0.08364397121334477,0,0,1,0
10,10012,81316.7066,26464,New York County,3350.0,429.0,8.0,34.0,"(6, 72]",11.306106767659994,8.116715624819111,6.061456918928018,11.172436330841686,0.1336704368183046,0,0,1,0
11,10013,69836.0955,24723,New York County,5195.0,497.0,10.0,14.0,"(6, 72]",11.153906282593276,8.555451903533328,6.208590026096629,11.517461117972367,-0.3635548353790927,0,0,1,0
12,10014,98449.9155,32867,New York County,3700.0,424.0,14.0,0.0,0,11.497303225763195,8.216088098632316,6.049733455231958,11.103518651923,0.3937845738401933,0,0,1,0
13,10016,96760.4462,49904,New York County,3400.0,441.0,2.0,0.0,0,11.479993576123006,8.131530710604252,6.089044875446847,11.241137853920838,0.2388557222021639,0,0,1,0
14,10017,102523.5025,16231,New York County,3000.0,358.0,2.0,5.0,"(0, 6]",11.537847343959978,8.006367567650246,5.880532986400699,11.244601659207497,0.29324568475248114,0,0,1,0
15,10018,84799.0772,4255,New York County,3495.0,382.0,4.0,26.0,"(6, 72]",11.348039939645313,8.15908865466791,5.945420608606575,11.373654610565353,-0.025614670920040442,0,0,1,0
16,10019,84786.4665,39048,New York County,3595.0,695.0,2.0,16.0,"(6, 72]",11.347891215883275,8.187299270155147,6.543911845564794,11.326379233239784,0.02151198264348864,0,0,1,0
17,10021,113800.3846,44173,New York County,3295.0,150.0,0.0,12.0,"(6, 72]",11.642201180282012,8.100161446936607,5.010635294096256,11.277716710358918,0.3644844699230951,0,0,1,0
18,10022,93106.6559,26460,New York County,3252.0,463.0,2.0,3.0,"(0, 6]",11.441500952653875,8.087025470667701,6.137727054086233,11.280864931928372,0.1606360207255051,0,0,1,0
19,10023,108285.5918,59002,New York County,3697.0,197.0,8.0,16.0,"(6, 72]",11.592527384433993,8.215276958936633,5.2832037287379885,11.149499682461341,0.4430277019726496,0,0,1,0
20,10024,110998.9883,61485,New York County,3300.0,196.0,0.0,0.0,0,11.61727636583852,8.101677747454572,5.278114659230517,11.220944704572242,0.3963316612662791,0,0,1,0
