,borough,ct2010,zipcode,NTA_code,NTA_name,match_id,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA
0,QN,1099.0,11361.0,QN46,Bayside-Bayside Hills,QN1099.0,81.0,4.0,1099.0,4104.0
2,SI,277.02,10314.0,,,SI277.02,,,,
3,BK,546.0,11210.0,BK43,Midwood,BK546.0,47.0,3.0,546.0,4015.0
5,BK,552.0,11229.0,BK44,Madison,BK552.0,47.0,3.0,552.0,4016.0
6,QN,595.0,,QN20,Ridgewood,QN595.0,81.0,4.0,595.0,4110.0
7,BK,235.0,11205.0,BK69,Clinton Hill,BK235.0,47.0,3.0,235.0,4004.0
8,BK,261.0,11216.0,BK75,Bedford,BK261.0,47.0,3.0,261.0,4003.0
9,BK,165.0,11215.0,BK37,Park Slope-Gowanus,BK165.0,47.0,3.0,165.0,4005.0
10,QN,863.0,11354.0,QN51,Murray Hill,QN863.0,81.0,4.0,863.0,4103.0
11,MN,65.0,10011.0,MN23,West Village,MN65.0,61.0,1.0,65.0,3810.0
13,BK,240.0,11219.0,BK88,Borough Park,BK240.0,47.0,3.0,240.0,4014.0
14,BK,804.0,11225.0,BK60,Prospect Lefferts Gardens-Wingate,BK804.0,47.0,3.0,804.0,4011.0
15,BX,232.0,10462.0,BX37,Van Nest-Morris Park-Westchester Square,BX232.0,5.0,2.0,232.0,3704.0
16,BK,260.0,11204.0,BK28,Bensonhurst West,BK260.0,47.0,3.0,260.0,4017.0
18,BK,200.0,11228.0,BK30,Dyker Heights,BK200.0,47.0,3.0,200.0,4013.0
19,BK,499.0,11222.0,BK76,Greenpoint,BK499.0,47.0,3.0,499.0,4001.0
24,QN,492.0,11427.0,QN06,Jamaica Estates-Holliswood,QN492.0,81.0,4.0,492.0,4106.0
27,BK,302.0,11214.0,BK29,Bensonhurst East,BK302.0,47.0,3.0,302.0,4017.0
29,BK,314.0,11214.0,BK26,Gravesend,BK314.0,47.0,3.0,314.0,4018.0
31,BK,824.0,11226.0,BK95,Erasmus,BK824.0,47.0,3.0,824.0,4010.0
33,QN,548.0,11427.0,QN34,Queens Village,QN548.0,81.0,4.0,548.0,4105.0
35,QN,1429.0,11365.0,QN48,Auburndale,QN1429.0,81.0,4.0,1429.0,4104.0
44,BK,379.0,11233.0,BK35,Stuyvesant Heights,BK379.0,47.0,3.0,379.0,4003.0
47,BK,336.0,,BK21,Seagate-Coney Island,BK336.0,47.0,3.0,336.0,4018.0
51,BK,539.0,11249.0,BK72,Williamsburg,BK539.0,47.0,3.0,539.0,4001.0
55,BK,742.0,11210.0,BK58,Flatlands,BK742.0,47.0,3.0,742.0,4009.0
58,MN,49.0,10012.0,MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN49.0,61.0,1.0,49.0,3810.0
59,QN,16.0,11421.0,QN53,Woodhaven,QN16.0,81.0,4.0,16.0,4111.0
60,QN,375.0,11368.0,QN26,North Corona,QN375.0,81.0,4.0,375.0,4102.0
61,QN,857.0,11355.0,QN22,Flushing,QN857.0,81.0,4.0,857.0,4103.0
65,QN,473.0,11373.0,QN29,Elmhurst,QN473.0,81.0,4.0,473.0,4107.0
66,BK,337.0,11213.0,BK61,Crown Heights North,BK337.0,47.0,3.0,337.0,4006.0
67,BX,144.0,10465.0,BX52,Schuylerville-Throgs Neck-Edgewater Park,BX144.0,5.0,2.0,144.0,3703.0
71,QN,235.0,11377.0,QN31,Hunters Point-Sunnyside-West Maspeth,QN235.0,81.0,4.0,235.0,4109.0
72,MN,128.0,10021.0,MN40,Upper East Side-Carnegie Hill,MN128.0,61.0,1.0,128.0,3805.0
73,MN,101.0,10001.0,MN17,Midtown-Midtown South,MN101.0,61.0,1.0,101.0,3807.0
75,QN,58.0,,QN56,Ozone Park,QN58.0,81.0,4.0,58.0,4113.0
78,MN,93.0,10011.0,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,MN93.0,61.0,1.0,93.0,3807.0
80,BK,22.0,11220.0,BK32,Sunset Park West,BK22.0,47.0,3.0,22.0,4012.0
83,SI,198.0,10309.0,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,SI198.0,85.0,5.0,198.0,3901.0
90,MN,161.0,10023.0,MN12,Upper West Side,MN161.0,61.0,1.0,161.0,3806.0
92,MN,227.0,10031.0,MN04,Hamilton Heights,MN227.0,61.0,1.0,227.0,3802.0
